listid,block,trialNumber,shape,deviant_object,location_deviant,location_standard,location_standard_smaller,location_standard_larger,orientation,color,deviant_type
3,1,4,car,duck,3,4,1,2,325,,2
3,1,5,equilateral_triangle,na,3,4,1,2,355,deepskyblue,2
3,1,6,rhombus,na,4,1,2,3,325,yellow,2
3,2,1,square,na,4,3,2,1,325,green,1
3,2,2,isosceles_triangle,na,3,2,1,4,355,purple,1
3,2,3,pentagon,na,2,1,4,3,325,deepskyblue,1
3,2,4,duck,car,2,1,4,3,355,,1
3,2,5,equilateral_triangle,na,4,3,2,1,325,yellow,1
3,2,6,rhombus,na,3,2,1,4,355,red,1
3,3,1,square,na,1,2,3,4,5,purple,2
3,3,2,isosceles_triangle,na,2,3,4,1,25,deepskyblue,2
3,3,3,pentagon,na,3,4,1,2,5,yellow,2
3,3,4,duck,car,0,0,0,0,25,,2
3,3,5,equilateral_triangle,na,1,2,3,4,5,red,2
3,3,6,rhombus,na,2,3,4,1,25,green,2
3,4,1,square,na,2,1,4,3,25,deepskyblue,1
3,4,2,isosceles_triangle,na,1,4,3,2,5,yellow,1
3,4,3,pentagon,na,4,3,2,1,25,red,1
3,4,4,car,duck,4,3,2,1,5,,1
3,4,5,equilateral_triangle,na,1,1,4,3,25,green,1
3,4,6,rhombus,na,3,4,3,2,5,purple,1
4,1,1,square,na,4,3,2,1,325,green,2
4,1,2,rhombus,na,3,2,1,4,355,purple,2
4,1,3,equilateral_triangle,na,2,1,4,3,325,deepskyblue,2
4,1,4,isosceles_triangle,na,1,4,3,2,355,yellow,2
4,1,5,duck,car,0,0,0,0,325,,2
4,1,6,pentagon,na,3,2,1,4,355,red,2
4,2,1,square,na,1,2,3,4,5,purple,1
4,2,2,rhombus,na,2,3,4,1,25,deepskyblue,1
4,2,3,equilateral_triangle,na,3,4,1,2,5,yellow,1
4,2,4,isosceles_triangle,na,4,1,2,3,25,red,1
4,2,5,car,duck,2,3,4,1,5,,1
4,2,6,pentagon,na,2,3,4,1,25,green,1
4,3,1,square,na,2,1,4,3,25,deepskyblue,2
4,3,2,rhombus,na,1,4,3,2,5,yellow,2
4,3,3,equilateral_triangle,na,4,3,2,1,25,red,2
4,3,4,isosceles_triangle,na,3,2,1,4,5,green,2
4,3,5,duck,car,0,0,0,0,25,,2
4,3,6,pentagon,na,3,4,3,2,5,purple,2
4,4,1,square,na,3,4,1,2,355,yellow,1
4,4,2,rhombus,na,4,1,2,3,325,red,1
4,4,3,equilateral_triangle,na,1,2,3,4,355,green,1
4,4,4,isosceles_triangle,na,2,3,4,1,325,purple,1
4,4,5,car,duck,4,3,2,1,355,,1
4,4,6,pentagon,na,4,1,2,3,325,deepskyblue,1
5,1,1,isosceles_triangle,na,1,2,4,3,25,purple,2
5,1,2,duck,car,3,1,4,2,5,,2
5,1,3,square,na,4,3,1,2,25,deepskyblue,2
5,1,4,rhombus,na,3,1,2,4,5,yellow,2
5,1,5,pentagon,na,1,2,3,4,25,red,2
5,1,6,equilateral_triangle,na,2,4,1,3,5,green,2
5,2,1,isosceles_triangle,na,2,4,3,1,355,deepskyblue,1
5,2,2,car,duck,0,0,0,0,325,,1
5,2,3,square,na,3,1,2,4,355,yellow,1
5,2,4,rhombus,na,1,2,4,3,325,red,1
5,2,5,pentagon,na,2,4,1,3,355,green,1
5,2,6,equilateral_triangle,na,4,3,2,1,325,purple,1
5,3,1,isosceles_triangle,na,3,1,2,4,325,yellow,2
5,3,2,duck,car,2,3,1,4,355,,2
5,3,3,square,na,2,4,3,1,325,red,2
5,3,4,rhombus,na,4,3,1,2,355,green,2
5,3,5,pentagon,na,3,1,4,2,325,purple,2
5,3,6,equilateral_triangle,na,1,2,3,4,355,deepskyblue,2
5,4,1,isosceles_triangle,na,4,3,1,2,5,red,1
5,4,2,car,duck,4,2,3,1,25,,1
5,4,3,square,na,1,2,4,3,5,green,1
5,4,4,rhombus,na,2,4,3,1,25,purple,1
5,4,5,pentagon,na,4,3,2,1,5,deepskyblue,1
5,4,6,equilateral_triangle,na,3,1,4,2,25,red,1
6,1,1,isosceles_triangle,na,2,4,3,1,355,blue,2
6,1,2,pentagon,na,4,3,1,2,325,yellow,2
6,1,3,duck,car,4,2,3,1,355,,2
6,1,4,equilateral_triangle,na,1,2,4,3,325,red,2
6,1,5,rhombus,na,2,4,1,3,355,green,2
6,1,6,square,na,4,3,2,1,325,purple,2
6,2,1,isosceles_triangle,na,3,1,2,4,325,yellow,1
6,2,2,pentagon,na,1,2,4,3,355,red,1
6,2,3,car,duck,3,1,4,2,325,,1
6,2,4,equilateral_triangle,na,4,3,1,2,355,green,1
6,2,5,rhombus,na,3,1,4,2,325,purple,1
6,2,6,square,na,1,2,3,4,355,deepskyblue,1
6,3,1,isosceles_triangle,na,4,3,1,2,5,red,2
6,3,2,pentagon,na,3,1,2,4,25,green,2
6,3,3,duck,car,2,3,1,4,5,,2
6,3,4,equilateral_triangle,na,2,4,3,1,25,purple,2
6,3,5,rhombus,na,4,3,2,1,5,deepskyblue,2
6,3,6,square,na,3,1,4,2,25,yellow,2
6,4,1,isosceles_triangle,na,1,2,4,3,25,green,1
6,4,2,pentagon,na,2,4,3,1,5,purple,1
6,4,3,car,duck,0,0,0,0,25,,1
6,4,4,equilateral_triangle,na,3,1,2,4,5,deepskyblue,1
6,4,5,rhombus,na,1,2,3,4,25,yellow,1
6,4,6,square,na,2,4,1,3,5,red,1
7,1,1,isosceles_triangle,na,3,1,2,4,325,yellow,1
7,1,2,square,na,1,2,4,3,355,red,1
7,1,3,pentagon,na,2,4,3,1,325,green,1
7,1,4,duck,car,0,0,0,0,355,,1
7,1,5,equilateral_triangle,na,3,1,4,2,325,purple,1
7,1,6,rhombus,na,1,2,3,4,355,deepskyblue,1
7,2,1,isosceles_triangle,na,4,3,1,2,5,red,2
7,2,2,square,na,3,1,2,4,25,green,2
7,2,3,pentagon,na,1,2,4,3,5,purple,2
7,2,4,car,duck,3,1,4,2,25,,2
7,2,5,equilateral_triangle,na,4,3,2,1,5,deepskyblue,2
7,2,6,rhombus,na,3,1,4,2,25,yellow,2
7,3,1,isosceles_triangle,na,1,2,4,3,25,green,1
7,3,2,square,na,2,4,3,1,5,purple,1
7,3,3,pentagon,na,4,3,1,2,25,deepskyblue,1
7,3,4,duck,car,4,2,3,1,5,,1
7,3,5,equilateral_triangle,na,1,2,3,4,25,yellow,1
7,3,6,rhombus,na,2,4,1,3,5,red,1
7,4,1,isosceles_triangle,na,2,4,3,1,355,purple,2
7,4,2,square,na,4,3,1,2,325,deepskyblue,2
7,4,3,pentagon,na,3,1,2,4,355,yellow,2
7,4,4,car,duck,2,3,1,4,325,,2
7,4,5,equilateral_triangle,na,2,4,1,3,355,red,2
7,4,6,rhombus,na,4,3,2,1,325,green,2
8,1,1,isosceles_triangle,na,4,3,1,2,5,red,1
8,1,2,equilateral_triangle,na,3,1,2,4,25,green,1
8,1,3,rhombus,na,1,2,4,3,5,purple,1
8,1,4,square,na,2,4,3,1,25,deepskyblue,1
8,1,5,duck,car,0,0,0,0,5,,1
8,1,6,pentagon,na,3,1,4,2,25,yellow,1
8,2,1,isosceles_triangle,na,1,2,4,3,25,green,2
8,2,2,equilateral_triangle,na,2,4,3,1,5,purple,2
8,2,3,rhombus,na,4,3,1,2,25,deepskyblue,2
8,2,4,square,na,3,1,2,4,5,yellow,2
8,2,5,car,duck,2,3,4,1,25,,2
8,2,6,pentagon,na,2,4,1,3,5,red,2
8,3,1,isosceles_triangle,na,2,4,3,1,355,purple,1
8,3,2,equilateral_triangle,na,4,3,1,2,325,deepskyblue,1
8,3,3,rhombus,na,3,1,2,4,355,yellow,1
8,3,4,square,na,1,2,4,3,325,red,1
8,3,5,duck,car,3,1,2,4,355,,1
8,3,6,pentagon,na,4,3,2,1,325,green,1
8,4,1,isosceles_triangle,na,3,1,2,4,325,deepskyblue,2
8,4,2,equilateral_triangle,na,1,2,4,3,355,yellow,2
8,4,3,rhombus,na,2,4,3,1,325,red,2
8,4,4,square,na,4,3,1,2,355,green,2
8,4,5,car,duck,4,2,4,3,325,,2
8,4,6,pentagon,na,1,2,3,4,355,purple,2
9,1,1,pentagon,na,1,3,2,4,355,green,2
9,1,2,duck,car,4,3,1,2,325,,2
9,1,3,rhombus,na,2,4,1,3,355,purple,2
9,1,4,isosceles_triangle,na,4,1,3,2,325,deepskyblue,2
9,1,5,square,na,1,3,4,2,355,yellow,2
9,1,6,equilateral_triangle,na,3,2,1,4,325,red,2
9,2,1,pentagon,na,2,4,3,1,325,purple,1
9,2,2,car,duck,0,0,0,0,355,,1
9,2,3,rhombus,na,3,1,2,4,325,deepskyblue,1
9,2,4,isosceles_triangle,na,1,2,4,3,355,yellow,1
9,2,5,square,na,2,4,1,3,325,red,1
9,2,6,equilateral_triangle,na,4,3,2,1,355,green,1
9,3,1,pentagon,na,3,1,4,2,5,deepskyblue,2
9,3,2,duck,car,2,1,3,4,25,,2
9,3,3,rhombus,na,4,2,3,1,5,yellow,2
9,3,4,isosceles_triangle,na,2,3,1,4,25,red,2
9,3,5,square,na,3,1,2,4,5,green,2
9,3,6,equilateral_triangle,na,1,4,3,2,25,purple,2
9,4,1,pentagon,na,4,2,1,3,25,yellow,1
9,4,2,car,duck,3,2,4,1,5,,1
9,4,3,rhombus,na,1,3,4,2,25,red,1
9,4,4,isosceles_triangle,na,3,4,2,1,5,green,1
9,4,5,square,na,4,2,3,1,25,purple,1
9,4,6,equilateral_triangle,na,2,1,4,3,5,deepskyblue,1
10,1,1,pentagon,na,2,4,3,1,325,purple,2
10,1,2,square,na,4,3,1,2,355,deepskyblue,2
10,1,3,duck,car,4,2,3,1,325,,2
10,1,4,equilateral_triangle,na,1,2,4,3,355,yellow,2
10,1,5,rhombus,na,2,4,1,3,325,red,2
10,1,6,isosceles_triangle,na,4,3,2,1,355,green,2
10,2,1,pentagon,na,3,1,4,2,5,deepskyblue,1
10,2,2,square,na,1,4,2,3,25,yellow,1
10,2,3,car,duck,0,0,0,0,5,,1
10,2,4,equilateral_triangle,na,2,3,1,4,25,red,1
10,2,5,rhombus,na,3,1,2,4,5,green,1
10,2,6,isosceles_triangle,na,1,4,3,2,25,purple,1
10,3,1,pentagon,na,4,2,1,3,25,yellow,2
10,3,2,square,na,2,1,3,4,5,red,2
10,3,3,duck,car,2,4,1,3,25,,2
10,3,4,equilateral_triangle,na,3,4,2,1,5,green,2
10,3,5,rhombus,na,4,2,3,1,25,purple,2
10,3,6,isosceles_triangle,na,2,1,4,3,5,deepskyblue,2
10,4,1,pentagon,na,1,3,2,4,355,red,1
10,4,2,square,na,3,2,4,1,325,green,1
10,4,3,car,duck,3,1,2,4,355,,1
10,4,4,equilateral_triangle,na,4,1,3,2,325,purple,1
10,4,5,rhombus,na,1,3,4,2,355,deepskyblue,1
10,4,6,isosceles_triangle,na,3,2,1,4,325,yellow,1
11,1,1,pentagon,na,3,1,4,2,5,deepskyblue,1
11,1,2,rhombus,na,1,4,2,3,25,yellow,1
11,1,3,equilateral_triangle,na,4,2,3,1,5,red,1
11,1,4,car,duck,1,2,0,3,25,,1
11,1,5,isosceles_triangle,na,3,1,2,4,5,green,1
11,1,6,square,na,1,4,3,2,25,purple,1
11,2,1,pentagon,na,4,2,1,3,25,yellow,2
11,2,2,rhombus,na,2,1,3,4,5,red,2
11,2,3,equilateral_triangle,na,1,3,4,2,25,green,2
11,2,4,duck,car,2,3,1,0,5,,2
11,2,5,isosceles_triangle,na,4,2,3,1,25,purple,2
11,2,6,square,na,2,1,4,3,5,deepskyblue,2
11,3,1,pentagon,na,1,3,2,4,355,red,1
11,3,2,rhombus,na,3,2,4,1,325,green,1
11,3,3,equilateral_triangle,na,2,4,1,3,355,purple,1
11,3,4,car,duck,3,0,2,1,325,,1
11,3,5,isosceles_triangle,na,1,3,4,2,355,deepskyblue,1
11,3,6,square,na,3,2,1,4,325,yellow,1
11,4,1,pentagon,na,2,4,3,1,325,green,2
11,4,2,rhombus,na,4,3,1,2,355,purple,2
11,4,3,equilateral_triangle,na,3,1,2,4,325,deepskyblue,2
11,4,4,duck,car,0,1,3,2,355,,2
11,4,5,isosceles_triangle,na,2,4,1,3,325,yellow,2
11,4,6,square,na,4,3,2,1,355,red,2
12,1,1,pentagon,na,4,2,1,3,25,yellow,1
12,1,2,isosceles_triangle,na,2,1,3,4,5,red,1
12,1,3,square,na,1,3,4,2,25,green,1
12,1,4,equilateral_triangle,na,3,4,2,1,5,purple,1
12,1,5,car,duck,3,1,2,0,25,,1
12,1,6,rhombus,na,2,1,4,3,5,deepskyblue,1
12,2,1,pentagon,na,1,3,2,4,355,red,2
12,2,2,isosceles_triangle,na,3,2,4,1,325,green,2
12,2,3,square,na,2,4,1,3,355,purple,2
12,2,4,equilateral_triangle,na,4,1,3,2,325,deepskyblue,2
12,2,5,duck,car,0,2,3,1,355,,2
12,2,6,rhombus,na,3,2,1,4,325,yellow,2
12,3,1,pentagon,na,2,4,3,1,325,green,1
12,3,2,isosceles_triangle,na,4,3,1,2,355,purple,1
12,3,3,square,na,3,1,2,4,325,deepskyblue,1
12,3,4,equilateral_triangle,na,1,2,4,3,355,yellow,1
12,3,5,car,duck,1,3,0,2,325,,1
12,3,6,rhombus,na,4,3,2,1,355,red,1
12,4,1,pentagon,na,3,1,4,2,5,purple,2
12,4,2,isosceles_triangle,na,1,4,2,3,25,deepskyblue,2
12,4,3,square,na,4,2,3,1,5,yellow,2
12,4,4,equilateral_triangle,na,2,3,1,4,25,red,2
12,4,5,duck,car,2,0,1,3,5,,2
12,4,6,rhombus,na,1,4,3,2,25,green,2
13,1,1,equilateral_triangle,na,1,3,4,2,325,red,1
13,1,2,car,duck,2,3,1,0,355,,1
13,1,3,rhombus,na,4,2,1,3,325,green,1
13,1,4,pentagon,na,2,1,3,4,355,purple,1
13,1,5,square,na,1,3,2,4,325,blue,1
13,1,6,isosceles_triangle,na,3,4,1,2,355,yellow,1
13,2,1,equilateral_triangle,na,2,4,3,1,5,green,2
13,2,2,duck,car,3,2,0,1,25,,2
13,2,3,rhombus,na,3,1,2,4,5,purple,2
13,2,4,pentagon,na,1,2,4,3,25,blue,2
13,2,5,square,na,2,4,1,3,5,yellow,2
13,2,6,isosceles_triangle,na,4,3,2,1,25,red,2
13,3,1,equilateral_triangle,na,3,1,2,4,25,purple,1
13,3,2,car,duck,0,1,3,2,5,,1
13,3,3,rhombus,na,2,4,3,1,25,blue,1
13,3,4,pentagon,na,4,3,1,2,5,yellow,1
13,3,5,square,na,3,1,4,2,25,red,1
13,3,6,isosceles_triangle,na,1,2,3,4,5,green,1
13,4,1,equilateral_triangle,na,4,2,1,3,355,blue,2
13,4,2,duck,car,1,0,2,3,325,,2
13,4,3,rhombus,na,1,3,4,2,355,yellow,2
13,4,4,pentagon,na,3,4,2,1,325,red,2
13,4,5,square,na,4,2,3,1,355,green,2
13,4,6,isosceles_triangle,na,2,1,4,3,325,purple,2
14,1,1,equilateral_triangle,na,2,4,3,1,5,green,1
14,1,2,pentagon,na,4,3,1,2,25,purple,1
14,1,3,car,duck,2,0,1,3,5,,1
14,1,4,rhombus,na,1,2,4,3,25,blue,1
14,1,5,isosceles_triangle,na,2,4,1,3,5,yellow,1
14,1,6,square,na,4,3,2,1,25,red,1
14,2,1,equilateral_triangle,na,3,1,2,4,25,purple,2
14,2,2,pentagon,na,1,2,4,3,5,blue,2
14,2,3,car,duck,1,3,2,0,25,,2
14,2,4,rhombus,na,4,3,1,2,5,yellow,2
14,2,5,isosceles_triangle,na,3,1,4,2,25,red,2
14,2,6,square,na,1,2,3,4,5,green,2
14,3,1,equilateral_triangle,na,4,2,1,3,355,blue,1
14,3,2,pentagon,na,2,1,3,4,325,yellow,1
14,3,3,car,duck,0,2,3,1,355,,1
14,3,4,rhombus,na,3,4,2,1,325,red,1
14,3,5,isosceles_triangle,na,4,2,3,1,355,green,1
14,3,6,square,na,2,1,4,3,325,purple,1
14,4,1,equilateral_triangle,na,1,3,4,2,325,yellow,2
14,4,2,pentagon,na,3,4,2,1,355,red,2
14,4,3,car,duck,3,1,0,2,325,,2
14,4,4,rhombus,na,2,1,3,4,355,green,2
14,4,5,isosceles_triangle,na,1,3,2,4,325,purple,2
14,4,6,square,na,3,4,1,2,355,deepskyblue,2
15,1,1,equilateral_triangle,na,3,1,2,4,25,purple,2
15,1,2,square,na,1,2,4,3,5,blue,2
15,1,3,isosceles_triangle,na,2,4,3,1,25,yellow,2
15,1,4,car,duck,3,2,0,1,5,,2
15,1,5,pentagon,na,3,1,4,2,25,red,2
15,1,6,rhombus,na,1,2,3,4,5,green,2
15,2,1,equilateral_triangle,na,4,2,1,3,355,deepskyblue,1
15,2,2,square,na,2,1,3,4,325,yellow,1
15,2,3,isosceles_triangle,na,1,3,4,2,355,red,1
15,2,4,duck,car,2,3,1,0,325,,1
15,2,5,pentagon,na,4,2,3,1,355,green,1
15,2,6,rhombus,na,2,1,4,3,325,purple,1
15,3,1,equilateral_triangle,na,1,3,4,2,325,yellow,2
15,3,2,square,na,3,4,2,1,355,red,2
15,3,3,isosceles_triangle,na,4,2,1,3,325,green,2
15,3,4,car,duck,1,0,2,3,355,,2
15,3,5,pentagon,na,1,3,2,4,325,purple,2
15,3,6,rhombus,na,3,4,1,2,355,deepskyblue,2
15,4,1,equilateral_triangle,na,2,4,3,1,5,red,1
15,4,2,square,na,4,3,1,2,25,green,1
15,4,3,isosceles_triangle,na,3,1,2,4,5,purple,1
15,4,4,duck,car,0,1,3,2,25,,1
15,4,5,pentagon,na,2,4,1,3,5,deepskyblue,1
15,4,6,rhombus,na,4,3,2,1,25,yellow,1
16,1,1,equilateral_triangle,na,4,2,1,3,355,deepskyblue,2
16,1,2,rhombus,na,2,1,3,4,325,yellow,2
16,1,3,square,na,1,3,4,2,355,red,2
16,1,4,isosceles_triangle,na,3,4,2,1,325,green,2
16,1,5,car,duck,3,1,2,0,355,,2
16,1,6,pentagon,na,2,1,4,3,325,purple,2
16,2,1,equilateral_triangle,na,1,3,4,2,325,yellow,1
16,2,2,rhombus,na,3,4,2,1,355,red,1
16,2,3,square,na,4,2,1,3,325,green,1
16,2,4,isosceles_triangle,na,2,1,3,4,355,purple,1
16,2,5,duck,car,0,2,1,3,325,,1
16,2,6,pentagon,na,3,4,1,2,355,deepskyblue,1
16,3,1,equilateral_triangle,na,2,4,3,1,5,red,2
16,3,2,rhombus,na,4,3,1,2,25,green,2
16,3,3,square,na,3,1,2,4,5,purple,2
16,3,4,isosceles_triangle,na,1,2,4,3,25,deepskyblue,2
16,3,5,car,duck,1,3,0,2,5,,2
16,3,6,pentagon,na,4,3,2,1,25,yellow,2
16,4,1,equilateral_triangle,na,3,1,2,4,25,green,1
16,4,2,rhombus,na,1,2,4,3,5,purple,1
16,4,3,square,na,2,4,3,1,25,deepskyblue,1
16,4,4,isosceles_triangle,na,4,3,1,2,5,yellow,1
16,4,5,duck,car,2,0,3,1,25,,1
16,4,6,pentagon,na,1,2,3,4,5,red,1
17,1,1,rhombus,na,1,4,3,2,325,yellow,2
17,1,2,car,duck,3,2,1,0,355,,2
17,1,3,pentagon,na,3,2,1,4,325,red,2
17,1,4,square,na,2,1,4,3,355,green,2
17,1,5,isosceles_triangle,na,1,4,2,3,325,purple,2
17,1,6,equilateral_triangle,na,4,3,1,2,355,deepskyblue,2
17,2,1,rhombus,na,2,3,4,1,5,red,1
17,2,2,duck,car,2,3,0,1,25,,1
17,2,3,pentagon,na,4,1,2,3,5,green,1
17,2,4,square,na,1,2,3,4,25,purple,1
17,2,5,isosceles_triangle,na,2,3,1,4,5,deepskyblue,1
17,2,6,equilateral_triangle,na,3,4,2,1,25,yellow,1
17,3,1,rhombus,na,3,2,1,4,25,green,2
17,3,2,car,duck,1,0,3,2,5,,2
17,3,3,pentagon,na,1,4,3,2,25,purple,2
17,3,4,square,na,4,3,2,1,5,deepskyblue,2
17,3,5,isosceles_triangle,na,3,2,4,1,25,yellow,2
17,3,6,equilateral_triangle,na,2,1,3,4,5,red,2
17,4,1,rhombus,na,4,1,2,3,355,purple,1
17,4,2,duck,car,0,1,2,3,325,,1
17,4,3,pentagon,na,2,3,4,1,355,deepskyblue,1
17,4,4,square,na,3,4,1,2,325,yellow,1
17,4,5,isosceles_triangle,na,4,1,3,2,355,red,1
17,4,6,equilateral_triangle,na,1,2,4,3,325,green,1
18,1,1,rhombus,na,2,3,4,1,5,red,2
18,1,2,equilateral_triangle,na,3,4,1,2,25,green,2
18,1,3,car,duck,3,0,1,2,5,,2
18,1,4,pentagon,na,1,2,3,4,25,purple,2
18,1,5,square,na,2,3,1,4,5,deepskyblue,2
18,1,6,isosceles_triangle,na,3,4,2,1,25,yellow,2
18,2,1,rhombus,na,3,2,1,4,25,green,1
18,2,2,equilateral_triangle,na,2,1,4,3,5,purple,1
18,2,3,duck,car,0,3,2,1,25,,1
18,2,4,pentagon,na,4,3,2,1,5,deepskyblue,1
18,2,5,square,na,3,2,4,1,25,yellow,1
18,2,6,isosceles_triangle,na,2,1,3,4,5,red,1
18,3,1,rhombus,na,4,1,2,3,355,purple,2
18,3,2,equilateral_triangle,na,1,2,3,4,325,deepskyblue,2
18,3,3,car,duck,1,2,3,0,355,,2
18,3,4,pentagon,na,3,4,1,2,325,yellow,2
18,3,5,square,na,4,1,3,2,355,red,2
18,3,6,isosceles_triangle,na,1,2,4,3,325,green,2
18,4,1,rhombus,na,1,4,3,2,325,deepskyblue,1
18,4,2,equilateral_triangle,na,4,3,2,1,355,yellow,1
18,4,3,duck,car,2,1,0,3,325,,1
18,4,4,pentagon,na,2,1,4,3,355,red,1
18,4,5,square,na,1,4,2,3,325,green,1
18,4,6,isosceles_triangle,na,4,3,1,2,355,purple,1
19,1,1,rhombus,na,3,2,1,4,25,green,1
19,1,2,pentagon,na,2,1,4,3,5,purple,1
19,1,3,isosceles_triangle,na,1,4,3,2,25,deepskyblue,1
19,1,4,car,duck,3,2,1,0,5,,1
19,1,5,equilateral_triangle,na,3,2,4,1,25,yellow,1
19,1,6,square,na,2,1,3,4,5,red,1
19,2,1,rhombus,na,4,1,2,3,355,purple,2
19,2,2,pentagon,na,1,2,3,4,325,deepskyblue,2
19,2,3,isosceles_triangle,na,2,3,4,1,355,yellow,2
19,2,4,duck,car,2,3,0,1,325,,2
19,2,5,equilateral_triangle,na,4,1,3,2,355,red,2
19,2,6,square,na,1,2,4,3,325,green,2
19,3,1,rhombus,na,1,4,3,2,325,deepskyblue,1
19,3,2,pentagon,na,4,3,2,1,355,yellow,1
19,3,3,isosceles_triangle,na,3,2,1,4,325,red,1
19,3,4,car,duck,1,0,3,2,355,,1
19,3,5,equilateral_triangle,na,1,4,2,3,325,green,1
19,3,6,square,na,4,3,1,2,355,purple,1
19,4,1,rhombus,na,2,3,4,1,5,yellow,2
19,4,2,pentagon,na,3,4,1,2,25,red,2
19,4,3,isosceles_triangle,na,4,1,2,3,5,green,2
19,4,4,duck,car,0,1,2,3,25,,2
19,4,5,equilateral_triangle,na,2,3,1,4,5,purple,2
19,4,6,square,na,3,4,2,1,25,deepskyblue,2
20,1,1,rhombus,na,4,1,2,3,355,purple,1
20,1,2,isosceles_triangle,na,1,2,3,4,325,deepskyblue,1
20,1,3,equilateral_triangle,na,2,3,4,1,355,yellow,1
20,1,4,square,na,3,4,1,2,325,red,1
20,1,5,car,duck,3,0,2,1,355,,1
20,1,6,pentagon,na,1,2,4,3,325,green,1
20,2,1,rhombus,na,1,4,3,2,325,deepskyblue,2
20,2,2,isosceles_triangle,na,4,3,2,1,355,yellow,2
20,2,3,equilateral_triangle,na,3,2,1,4,325,red,2
20,2,4,square,na,2,1,4,3,355,green,2
20,2,5,car,duck,0,3,1,2,325,,2
20,2,6,pentagon,na,4,3,1,2,355,purple,2
20,3,1,rhombus,na,2,3,4,1,5,yellow,1
20,3,2,isosceles_triangle,na,3,4,1,2,25,red,1
20,3,3,equilateral_triangle,na,4,1,2,3,5,green,1
20,3,4,square,na,1,2,3,4,25,purple,1
20,3,5,car,duck,1,2,0,3,5,,1
20,3,6,pentagon,na,3,4,2,1,25,deepskyblue,1
20,4,1,rhombus,na,3,2,1,4,25,red,2
20,4,2,isosceles_triangle,na,2,1,4,3,5,green,2
20,4,3,equilateral_triangle,na,1,4,3,2,25,purple,2
20,4,4,square,na,4,3,2,1,5,deepskyblue,2
20,4,5,car,duck,2,1,3,0,25,,2
20,4,6,pentagon,na,2,1,3,4,5,yellow,2
